class,background,perspective,role,panel,assignment_sha256
9,1,4,calibration,,63d521452ccb14d3c25ed33ddd120814a82145ef2bf4915c9d3a3873132c2dab
9,1,5,calibration,,0c81e30f991b65ddbb345569c6aad0227a08caa5b0900ec9f7e2f8bb295c22f2
9,2,4,calibration,,3fb7f091b3cb34c8d0b2175fefee47d7335628c2aec3cb697db6b84ac4db39eb
9,2,5,calibration,,20dba0448b5f8def130deea06a3409d757128d44dd91cdd08c781f495f44b8f8
10,1,3,calibration,,59836cdd33f7e5d2363d579aa3b729e97ee4c72fe300d5f6faf5498a8fc08733
10,2,1,calibration,,5848e57e4d4e366109a247a87bae0822d01fa30a4d74ab813fd3f04654e6cdd8
10,2,2,calibration,,00246b3e9b90537d3706b6725c25964d32d7b817fc1df5cea9c0fe3d9a99eee2
10,2,3,calibration,,21c4fbf76735dbf69700a270e83c4ecdb0843896afddf0eea807487156e4f259
10,2,4,calibration,,5ddd6bb6b6eed16dcc30fee63e44ca64f3486b9ae2c4713ad86ab8e56d015570
1,1,3,confirmation,3,f0cf968c246a2a8af9364a263c54b874c8478e9eb6a84dee0f2d7e5306174385
1,1,4,confirmation,1,d56592f73944d2f32aacfaa80e40d9aa6c165001c0be2f39efd60c24d4502884
1,1,5,confirmation,4,f1f552d6c50a29864cfca2ed34a46932f9c6b9fe68c4185fdfdbdc4ddab582b2
1,2,4,confirmation,2,e45d90c1b77f22cdb1399553dcc4a1ec5cd30062b7efabe2aae123efd52cb79c
1,2,5,confirmation,0,88e949363b83b9dfc350810b72406a8326076999f397d3e020b40f10f4474195
2,1,1,confirmation,4,f47c2ac9b8b4a0098950304aafe6b4ec31a01c241a05789ba6d41316024d45f2
2,1,2,confirmation,2,e9473f89e782867e257e1e6ad27b023bba440b8d87b2ef768339adf7ed22b2d3
2,2,2,confirmation,0,9f3be7c9613d8a12ceb733865f3bb8a07ed8f865abae3264325c197aab323045
2,2,3,confirmation,3,ee2c0461d0e64f07e1a981663bc161e453f2c07b7d3bc3f4ea648e64c97cea87
2,2,5,confirmation,1,e463c99d536781547067bb82c2275bb622d5cdb9f1491eaf78f129b1955ce7e2
3,1,2,confirmation,1,923e30f760c26c43fc92e7b76644ce812efca4d2323523655285d36d592ce839
3,1,3,confirmation,0,89ee28af6ed2e991d23701dbec8fd5dd12dd0786986e7f73b3cfce2c2e3ff881
3,1,5,confirmation,3,abd2cdb17228d55c5234b130272740226451d1d1823d733ce6d226590fd0b12f
3,2,3,confirmation,2,a71574eb5ea9aa15b7fd0e9d2e2068cde0fce430c98c647d44a8152f0a1e5b78
3,2,4,confirmation,4,ef234d6e43f411f056c13dad4cb50f1a36c704c720888a95ffaf39af0163bf6a
4,1,1,confirmation,1,9a1582e3d1687e55001c9422a3ecc114a51ccdde18f34e3aa2affb6dc7651d0d
4,1,3,confirmation,0,9848600882ff818e5170541343c8d3dcb885689e67da9e4d0312c4b8dcf627df
4,2,2,confirmation,3,d97b82ca9833dfb659604a1088524ee93a64a5cfbf853eb0d495bd60e06a6eee
4,2,4,confirmation,2,d84776bcda20ca38225c7c00aa82d8884250d3c80ae6ca0fcd79cddb4c298248
4,2,5,confirmation,4,f602f562053c05d82d0ff5c9a44edaf990b97d60a09f721265bd2aa3667e4290
5,1,3,confirmation,1,9e5ca467a6bf6f005578fab0d5b33a353dbbe4d841b98681ddbe45834c265c94
5,1,4,confirmation,2,bbfe4b5abaaa4e5f7fc132c8a5da4ddcae3ed2586050a6e78ae0c85aa21b3dd1
5,1,5,confirmation,3,c9eff54d90aaa8db72ba1cf966ba011a263f1f88cd7a250274e824a852651a8c
5,2,1,confirmation,0,65b583b5588fe8605e8e078e6956409eadd542cecc37817f62759de94b3a1416
5,2,3,confirmation,4,d008ec8e25a7ea1e8f2e5d12a46fd5472d8d3cdb6cf0697e29d2dde2c1050dfe
6,1,2,confirmation,4,e8a7171f27741d74a850a5e3a3546ba9bcac00f99391ca1ac7490ebc994bb0d5
6,1,5,confirmation,0,5c1edf2089120bd9db9e679a4dae7fe1ba34c3e1fe30d7e5c5cf6c57fbd1ad2d
6,2,1,confirmation,3,bb973ac7aead49f749a088cd8c912dde0ee4b70291e26d4f45586f546653d9dd
6,2,2,confirmation,1,5d305b46e6a7519ccbb9060935d4277d7c6fd7f170e484703fc218fa4c20f176
6,2,4,confirmation,2,64c7f844f91805b830cf5a20d119b2cb69ed1b60d4bf1a11331b8228cec0469f
7,1,2,confirmation,2,c8ed8b81b3d8b49ecac65e25eb808c13e76b8572e11f69408370ef5593f3e1d1
7,1,3,confirmation,1,ac86759c66c603008f0c3d5a67a3c40762805c46c640419b0785c02ae28e0436
7,1,5,confirmation,4,fe39b3c8abcc15b9cf71df7c2e92b8edf0bfc7cff4f913d6b010184542ec1ff6
7,2,4,confirmation,0,8b782b9fdbd266dbafa23dee315d072c0d6ecc775a5a2873440945bf80c8a4ca
7,2,5,confirmation,3,f4a3d812bea2b0507e226a23819e339429fb40843faf9c493fb3a5d591e502a6
8,1,1,confirmation,3,f623d9dfa8fefd24418a50f154233513f09e637f825edc31dfc30277f6361f83
8,1,3,confirmation,1,d8ef7a5edb2570d48e7cf8c825bcf8a72793749c16600e4a6c6add7a88341334
8,1,4,confirmation,4,f847db648fdbfbbb2ebebd9fe4a24b5037db617b04a531b90ea1638669a6ffea
8,2,2,confirmation,0,b9d25955711512a99f0a3533cb48facab83a6ccc94f117619bdde59a090475ba
8,2,4,confirmation,2,e21d223bfb11724ee681e30bb3860a1a3388f888c6c68d42248a24f707f36b0c
9,1,2,confirmation,2,c3a895646a5619d22c88092d79ae99ec0f49004fa4ecdfd90cab89254e54063e
9,1,3,confirmation,4,e4d541b229b5902ab653556b2b9d349eb977ed5822f3831cd27388b7fab2cf34
9,2,1,confirmation,3,e0ba2363a57ee7fefbaef3069e735c7b41e0540030e8912e9bce60fdd89d9c75
9,2,2,confirmation,0,75b8f30ea56cc8953f042195e10e9e3057593d92f9f5587ce7cef52a5d740368
9,2,3,confirmation,1,7c3687495b413189caf566294ded185765745c0f5f58b14401905986a2364cdf
10,1,1,confirmation,0,73d0aa65ec2414cd70ba5cd06317e315eaa656b104ad6d5b8e814617f0c5acc3
10,1,2,confirmation,4,ff3c352a85fa80c915d14a344da9dd05528c5f56b135b18074f8b358cd64713a
10,1,4,confirmation,2,93d451067de02d01fdb6ff99e5673d4753fc4f47cad0d25a0167c110fa3a22f4
10,1,5,confirmation,3,f96bb19c462b8e3c0649c2a997b4db23d68d2fc6fc960ea11f73562b6fb347e7
10,2,5,confirmation,1,88f403ee0c7a2546d1844c7e77fea8857334a6b4b00b27324236e63ebfde451a
