imageID,class,background,perspective,challengeType,challengeLevel
411,2,3,2,2,2
412,3,3,2,2,2
413,4,3,2,2,2
414,5,3,2,2,2
415,6,3,2,2,2
416,7,3,2,2,2
417,8,3,2,2,2
418,9,3,2,2,2
419,10,3,2,2,2
420,1,3,3,2,2
421,2,3,3,2,2
422,3,3,3,2,2
423,4,3,3,2,2
424,5,3,3,2,2
425,6,3,3,2,2
426,7,3,3,2,2
427,8,3,3,2,2
428,9,3,3,2,2
429,10,3,3,2,2
430,1,3,4,2,2
431,2,3,4,2,2
432,3,3,4,2,2
433,4,3,4,2,2
434,5,3,4,2,2
435,6,3,4,2,2
436,7,3,4,2,2
437,8,3,4,2,2
438,9,3,4,2,2
439,10,3,4,2,2
440,1,3,5,2,2
441,2,3,5,2,2
442,3,3,5,2,2
443,4,3,5,2,2
444,5,3,5,2,2
445,6,3,5,2,2
446,7,3,5,2,2
447,8,3,5,2,2
448,9,3,5,2,2
449,10,3,5,2,2
450,1,1,1,2,3
451,2,1,1,2,3
452,3,1,1,2,3
453,4,1,1,2,3
454,5,1,1,2,3
455,6,1,1,2,3
456,7,1,1,2,3
457,8,1,1,2,3
458,9,1,1,2,3
459,10,1,1,2,3
460,1,1,2,2,3
461,2,1,2,2,3
462,3,1,2,2,3
463,4,1,2,2,3
464,5,1,2,2,3
465,6,1,2,2,3
466,7,1,2,2,3
467,8,1,2,2,3
468,9,1,2,2,3
469,10,1,2,2,3
470,1,1,3,2,3
471,2,1,3,2,3
472,3,1,3,2,3
473,4,1,3,2,3
474,5,1,3,2,3
475,6,1,3,2,3
476,7,1,3,2,3
477,8,1,3,2,3
478,9,1,3,2,3
479,10,1,3,2,3
480,1,1,4,2,3
481,2,1,4,2,3
482,3,1,4,2,3
483,4,1,4,2,3
484,5,1,4,2,3
485,6,1,4,2,3
486,7,1,4,2,3
487,8,1,4,2,3
488,9,1,4,2,3
489,10,1,4,2,3
490,1,1,5,2,3
491,2,1,5,2,3
492,3,1,5,2,3
493,4,1,5,2,3
494,5,1,5,2,3
495,6,1,5,2,3
496,7,1,5,2,3
497,8,1,5,2,3
498,9,1,5,2,3
499,10,1,5,2,3
500,1,2,1,2,3
501,2,2,1,2,3
502,3,2,1,2,3
503,4,2,1,2,3
504,5,2,1,2,3
505,6,2,1,2,3
506,7,2,1,2,3
507,8,2,1,2,3
508,9,2,1,2,3
509,10,2,1,2,3
510,1,2,2,2,3
511,2,2,2,2,3
512,3,2,2,2,3
513,4,2,2,2,3
514,5,2,2,2,3
515,6,2,2,2,3
516,7,2,2,2,3
517,8,2,2,2,3
518,9,2,2,2,3
519,10,2,2,2,3
520,1,2,3,2,3
521,2,2,3,2,3
522,3,2,3,2,3
523,4,2,3,2,3
524,5,2,3,2,3
525,6,2,3,2,3
526,7,2,3,2,3
527,8,2,3,2,3
528,9,2,3,2,3
529,10,2,3,2,3
530,1,2,4,2,3
531,2,2,4,2,3
532,3,2,4,2,3
533,4,2,4,2,3
534,5,2,4,2,3
535,6,2,4,2,3
536,7,2,4,2,3
537,8,2,4,2,3
538,9,2,4,2,3
539,10,2,4,2,3
540,1,2,5,2,3
541,2,2,5,2,3
542,3,2,5,2,3
543,4,2,5,2,3
544,5,2,5,2,3
545,6,2,5,2,3
546,7,2,5,2,3
547,8,2,5,2,3
548,9,2,5,2,3
549,10,2,5,2,3
550,1,3,1,2,3
551,2,3,1,2,3
552,3,3,1,2,3
553,4,3,1,2,3
554,5,3,1,2,3
555,6,3,1,2,3
556,7,3,1,2,3
557,8,3,1,2,3
558,9,3,1,2,3
559,10,3,1,2,3
560,1,3,2,2,3
561,2,3,2,2,3
562,3,3,2,2,3
563,4,3,2,2,3
564,5,3,2,2,3
565,6,3,2,2,3
566,7,3,2,2,3
567,8,3,2,2,3
568,9,3,2,2,3
569,10,3,2,2,3
570,1,3,3,2,3
571,2,3,3,2,3
572,3,3,3,2,3
573,4,3,3,2,3
574,5,3,3,2,3
575,6,3,3,2,3
576,7,3,3,2,3
577,8,3,3,2,3
578,9,3,3,2,3
579,10,3,3,2,3
580,1,3,4,2,3
581,2,3,4,2,3
582,3,3,4,2,3
583,4,3,4,2,3
584,5,3,4,2,3
585,6,3,4,2,3
586,7,3,4,2,3
587,8,3,4,2,3
588,9,3,4,2,3
589,10,3,4,2,3
590,1,3,5,2,3
591,2,3,5,2,3
592,3,3,5,2,3
593,4,3,5,2,3
594,5,3,5,2,3
595,6,3,5,2,3
596,7,3,5,2,3
597,8,3,5,2,3
598,9,3,5,2,3
599,10,3,5,2,3
600,1,1,1,2,4
601,2,1,1,2,4
602,3,1,1,2,4
603,4,1,1,2,4
604,5,1,1,2,4
605,6,1,1,2,4
606,7,1,1,2,4
607,8,1,1,2,4
608,9,1,1,2,4
609,10,1,1,2,4
610,1,1,2,2,4
611,2,1,2,2,4
612,3,1,2,2,4
613,4,1,2,2,4
614,5,1,2,2,4
615,6,1,2,2,4
616,7,1,2,2,4
617,8,1,2,2,4
618,9,1,2,2,4
619,10,1,2,2,4
620,1,1,3,2,4
621,2,1,3,2,4
622,3,1,3,2,4
623,4,1,3,2,4
624,5,1,3,2,4
625,6,1,3,2,4
626,7,1,3,2,4
627,8,1,3,2,4
628,9,1,3,2,4
629,10,1,3,2,4
630,1,1,4,2,4
631,2,1,4,2,4
632,3,1,4,2,4
633,4,1,4,2,4
634,5,1,4,2,4
635,6,1,4,2,4
636,7,1,4,2,4
637,8,1,4,2,4
638,9,1,4,2,4
639,10,1,4,2,4
640,1,1,5,2,4
641,2,1,5,2,4
642,3,1,5,2,4
643,4,1,5,2,4
644,5,1,5,2,4
645,6,1,5,2,4
646,7,1,5,2,4
647,8,1,5,2,4
648,9,1,5,2,4
649,10,1,5,2,4
650,1,2,1,2,4
651,2,2,1,2,4
652,3,2,1,2,4
653,4,2,1,2,4
654,5,2,1,2,4
655,6,2,1,2,4
656,7,2,1,2,4
657,8,2,1,2,4
658,9,2,1,2,4
659,10,2,1,2,4
660,1,2,2,2,4
661,2,2,2,2,4
662,3,2,2,2,4
663,4,2,2,2,4
664,5,2,2,2,4
665,6,2,2,2,4
666,7,2,2,2,4
667,8,2,2,2,4
668,9,2,2,2,4
669,10,2,2,2,4
670,1,2,3,2,4
671,2,2,3,2,4
672,3,2,3,2,4
673,4,2,3,2,4
674,5,2,3,2,4
675,6,2,3,2,4
676,7,2,3,2,4
677,8,2,3,2,4
678,9,2,3,2,4
679,10,2,3,2,4
680,1,2,4,2,4
681,2,2,4,2,4
682,3,2,4,2,4
683,4,2,4,2,4
684,5,2,4,2,4
685,6,2,4,2,4
686,7,2,4,2,4
687,8,2,4,2,4
688,9,2,4,2,4
689,10,2,4,2,4
690,1,2,5,2,4
691,2,2,5,2,4
692,3,2,5,2,4
693,4,2,5,2,4
694,5,2,5,2,4
695,6,2,5,2,4
696,7,2,5,2,4
697,8,2,5,2,4
698,9,2,5,2,4
699,10,2,5,2,4
700,1,3,1,2,4
701,2,3,1,2,4
702,3,3,1,2,4
703,4,3,1,2,4
704,5,3,1,2,4
705,6,3,1,2,4
706,7,3,1,2,4
707,8,3,1,2,4
708,9,3,1,2,4
709,10,3,1,2,4
710,1,3,2,2,4
711,2,3,2,2,4
712,3,3,2,2,4
713,4,3,2,2,4
714,5,3,2,2,4
715,6,3,2,2,4
716,7,3,2,2,4
717,8,3,2,2,4
718,9,3,2,2,4
719,10,3,2,2,4
720,1,3,3,2,4
721,2,3,3,2,4
722,3,3,3,2,4
723,4,3,3,2,4
724,5,3,3,2,4
725,6,3,3,2,4
726,7,3,3,2,4
727,8,3,3,2,4
728,9,3,3,2,4
729,10,3,3,2,4
730,1,3,4,2,4
731,2,3,4,2,4
732,3,3,4,2,4
733,4,3,4,2,4
734,5,3,4,2,4
735,6,3,4,2,4
736,7,3,4,2,4
737,8,3,4,2,4
738,9,3,4,2,4
739,10,3,4,2,4
740,1,3,5,2,4
741,2,3,5,2,4
742,3,3,5,2,4
743,4,3,5,2,4
744,5,3,5,2,4
745,6,3,5,2,4
746,7,3,5,2,4
747,8,3,5,2,4
748,9,3,5,2,4
749,10,3,5,2,4
750,1,1,1,3,1
751,2,1,1,3,1
752,3,1,1,3,1
753,4,1,1,3,1
754,5,1,1,3,1
755,6,1,1,3,1
756,7,1,1,3,1
757,8,1,1,3,1
758,9,1,1,3,1
759,10,1,1,3,1
760,1,1,2,3,1
761,2,1,2,3,1
762,3,1,2,3,1
763,4,1,2,3,1
764,5,1,2,3,1
765,6,1,2,3,1
766,7,1,2,3,1
767,8,1,2,3,1
768,9,1,2,3,1
769,10,1,2,3,1
770,1,1,3,3,1
771,2,1,3,3,1
772,3,1,3,3,1
773,4,1,3,3,1
774,5,1,3,3,1
775,6,1,3,3,1
776,7,1,3,3,1
777,8,1,3,3,1
778,9,1,3,3,1
779,10,1,3,3,1
780,1,1,4,3,1
781,2,1,4,3,1
782,3,1,4,3,1
783,4,1,4,3,1
784,5,1,4,3,1
785,6,1,4,3,1
786,7,1,4,3,1
787,8,1,4,3,1
788,9,1,4,3,1
789,10,1,4,3,1
790,1,1,5,3,1
791,2,1,5,3,1
792,3,1,5,3,1
793,4,1,5,3,1
794,5,1,5,3,1
795,6,1,5,3,1
796,7,1,5,3,1
797,8,1,5,3,1
798,9,1,5,3,1
799,10,1,5,3,1
800,1,2,1,3,1
801,2,2,1,3,1
802,3,2,1,3,1
803,4,2,1,3,1
804,5,2,1,3,1
805,6,2,1,3,1
806,7,2,1,3,1
807,8,2,1,3,1
808,9,2,1,3,1
809,10,2,1,3,1
810,1,2,2,3,1
811,2,2,2,3,1
812,3,2,2,3,1
813,4,2,2,3,1
814,5,2,2,3,1
815,6,2,2,3,1
816,7,2,2,3,1
817,8,2,2,3,1
818,9,2,2,3,1
819,10,2,2,3,1
820,1,2,3,3,1
821,2,2,3,3,1
822,3,2,3,3,1
823,4,2,3,3,1
824,5,2,3,3,1
825,6,2,3,3,1
826,7,2,3,3,1
827,8,2,3,3,1
828,9,2,3,3,1
829,10,2,3,3,1
830,1,2,4,3,1
831,2,2,4,3,1
832,3,2,4,3,1
833,4,2,4,3,1
834,5,2,4,3,1
835,6,2,4,3,1
836,7,2,4,3,1
837,8,2,4,3,1
838,9,2,4,3,1
839,10,2,4,3,1
840,1,2,5,3,1
841,2,2,5,3,1
842,3,2,5,3,1
843,4,2,5,3,1
844,5,2,5,3,1
845,6,2,5,3,1
846,7,2,5,3,1
847,8,2,5,3,1
848,9,2,5,3,1
849,10,2,5,3,1
850,1,3,1,3,1
851,2,3,1,3,1
852,3,3,1,3,1
853,4,3,1,3,1
854,5,3,1,3,1
855,6,3,1,3,1
856,7,3,1,3,1
857,8,3,1,3,1
858,9,3,1,3,1
859,10,3,1,3,1
860,1,3,2,3,1
861,2,3,2,3,1
862,3,3,2,3,1
863,4,3,2,3,1
864,5,3,2,3,1
865,6,3,2,3,1
866,7,3,2,3,1
867,8,3,2,3,1
868,9,3,2,3,1
869,10,3,2,3,1
870,1,3,3,3,1
871,2,3,3,3,1
872,3,3,3,3,1
873,4,3,3,3,1
874,5,3,3,3,1
875,6,3,3,3,1
876,7,3,3,3,1
877,8,3,3,3,1
878,9,3,3,3,1
879,10,3,3,3,1
880,1,3,4,3,1
881,2,3,4,3,1
882,3,3,4,3,1
883,4,3,4,3,1
884,5,3,4,3,1
885,6,3,4,3,1
886,7,3,4,3,1
887,8,3,4,3,1
888,9,3,4,3,1
889,10,3,4,3,1
890,1,3,5,3,1
891,2,3,5,3,1
892,3,3,5,3,1
893,4,3,5,3,1
894,5,3,5,3,1
895,6,3,5,3,1
896,7,3,5,3,1
897,8,3,5,3,1
898,9,3,5,3,1
899,10,3,5,3,1
900,1,1,1,3,2
901,2,1,1,3,2
902,3,1,1,3,2
903,4,1,1,3,2
904,5,1,1,3,2
905,6,1,1,3,2
906,7,1,1,3,2
907,8,1,1,3,2
908,9,1,1,3,2
909,10,1,1,3,2
910,1,1,2,3,2
911,2,1,2,3,2
912,3,1,2,3,2
913,4,1,2,3,2
914,5,1,2,3,2
915,6,1,2,3,2
916,7,1,2,3,2
917,8,1,2,3,2
918,9,1,2,3,2
919,10,1,2,3,2
920,1,1,3,3,2
921,2,1,3,3,2
922,3,1,3,3,2
923,4,1,3,3,2
924,5,1,3,3,2
925,6,1,3,3,2
926,7,1,3,3,2
927,8,1,3,3,2
928,9,1,3,3,2
929,10,1,3,3,2
930,1,1,4,3,2
931,2,1,4,3,2
932,3,1,4,3,2
933,4,1,4,3,2
934,5,1,4,3,2
935,6,1,4,3,2
936,7,1,4,3,2
937,8,1,4,3,2
938,9,1,4,3,2
939,10,1,4,3,2
940,1,1,5,3,2
941,2,1,5,3,2
942,3,1,5,3,2
943,4,1,5,3,2
944,5,1,5,3,2
945,6,1,5,3,2
946,7,1,5,3,2
947,8,1,5,3,2
948,9,1,5,3,2
949,10,1,5,3,2
950,1,2,1,3,2
951,2,2,1,3,2
952,3,2,1,3,2
953,4,2,1,3,2
954,5,2,1,3,2
955,6,2,1,3,2
956,7,2,1,3,2
957,8,2,1,3,2
958,9,2,1,3,2
959,10,2,1,3,2
960,1,2,2,3,2
961,2,2,2,3,2
962,3,2,2,3,2
963,4,2,2,3,2
964,5,2,2,3,2
965,6,2,2,3,2
966,7,2,2,3,2
967,8,2,2,3,2
968,9,2,2,3,2
969,10,2,2,3,2
970,1,2,3,3,2
971,2,2,3,3,2
972,3,2,3,3,2
973,4,2,3,3,2
974,5,2,3,3,2
975,6,2,3,3,2
976,7,2,3,3,2
977,8,2,3,3,2
978,9,2,3,3,2
979,10,2,3,3,2
980,1,2,4,3,2
981,2,2,4,3,2
982,3,2,4,3,2
983,4,2,4,3,2
984,5,2,4,3,2
985,6,2,4,3,2
986,7,2,4,3,2
987,8,2,4,3,2
988,9,2,4,3,2
989,10,2,4,3,2
990,1,2,5,3,2
991,2,2,5,3,2
992,3,2,5,3,2
993,4,2,5,3,2
994,5,2,5,3,2
995,6,2,5,3,2
996,7,2,5,3,2
997,8,2,5,3,2
998,9,2,5,3,2
999,10,2,5,3,2
1000,1,3,1,3,2
1001,2,3,1,3,2
1002,3,3,1,3,2
1003,4,3,1,3,2
1004,5,3,1,3,2
1005,6,3,1,3,2
1006,7,3,1,3,2
1007,8,3,1,3,2
1008,9,3,1,3,2
1009,10,3,1,3,2
1010,1,3,2,3,2
1011,2,3,2,3,2
1012,3,3,2,3,2
1013,4,3,2,3,2
1014,5,3,2,3,2
1015,6,3,2,3,2
1016,7,3,2,3,2
1017,8,3,2,3,2
1018,9,3,2,3,2
1019,10,3,2,3,2
1020,1,3,3,3,2
1021,2,3,3,3,2
1022,3,3,3,3,2
1023,4,3,3,3,2
1024,5,3,3,3,2
1025,6,3,3,3,2
1026,7,3,3,3,2
1027,8,3,3,3,2
1028,9,3,3,3,2
1029,10,3,3,3,2
1030,1,3,4,3,2
1031,2,3,4,3,2
1032,3,3,4,3,2
1033,4,3,4,3,2
1034,5,3,4,3,2
1035,6,3,4,3,2
1036,7,3,4,3,2
1037,8,3,4,3,2
1038,9,3,4,3,2
1039,10,3,4,3,2
1040,1,3,5,3,2
1041,2,3,5,3,2
1042,3,3,5,3,2
1043,4,3,5,3,2
1044,5,3,5,3,2
1045,6,3,5,3,2
1046,7,3,5,3,2
1047,8,3,5,3,2
1048,9,3,5,3,2
1049,10,3,5,3,2
1050,1,1,1,3,3
1051,2,1,1,3,3
1052,3,1,1,3,3
1053,4,1,1,3,3
1054,5,1,1,3,3
1055,6,1,1,3,3
1056,7,1,1,3,3
1057,8,1,1,3,3
1058,9,1,1,3,3
1059,10,1,1,3,3
1060,1,1,2,3,3
1061,2,1,2,3,3
1062,3,1,2,3,3
1063,4,1,2,3,3
1064,5,1,2,3,3
1065,6,1,2,3,3
1066,7,1,2,3,3
1067,8,1,2,3,3
1068,9,1,2,3,3
1069,10,1,2,3,3
1070,1,1,3,3,3
1071,2,1,3,3,3
1072,3,1,3,3,3
1073,4,1,3,3,3
1074,5,1,3,3,3
1075,6,1,3,3,3
1076,7,1,3,3,3
1077,8,1,3,3,3
1078,9,1,3,3,3
1079,10,1,3,3,3
1080,1,1,4,3,3
1081,2,1,4,3,3
1082,3,1,4,3,3
1083,4,1,4,3,3
1084,5,1,4,3,3
1085,6,1,4,3,3
1086,7,1,4,3,3
1087,8,1,4,3,3
1088,9,1,4,3,3
1089,10,1,4,3,3
1090,1,1,5,3,3
1091,2,1,5,3,3
1092,3,1,5,3,3
1093,4,1,5,3,3
1094,5,1,5,3,3
1095,6,1,5,3,3
1096,7,1,5,3,3
1097,8,1,5,3,3
1098,9,1,5,3,3
1099,10,1,5,3,3
1100,1,2,1,3,3
1101,2,2,1,3,3
1102,3,2,1,3,3
1103,4,2,1,3,3
1104,5,2,1,3,3
1105,6,2,1,3,3
1106,7,2,1,3,3
1107,8,2,1,3,3
1108,9,2,1,3,3
1109,10,2,1,3,3
1110,1,2,2,3,3
1111,2,2,2,3,3
1112,3,2,2,3,3
1113,4,2,2,3,3
1114,5,2,2,3,3
1115,6,2,2,3,3
1116,7,2,2,3,3
1117,8,2,2,3,3
1118,9,2,2,3,3
1119,10,2,2,3,3
1120,1,2,3,3,3
1121,2,2,3,3,3
1122,3,2,3,3,3
1123,4,2,3,3,3
1124,5,2,3,3,3
1125,6,2,3,3,3
1126,7,2,3,3,3
1127,8,2,3,3,3
1128,9,2,3,3,3
1129,10,2,3,3,3
1130,1,2,4,3,3
1131,2,2,4,3,3
1132,3,2,4,3,3
1133,4,2,4,3,3
1134,5,2,4,3,3
1135,6,2,4,3,3
1136,7,2,4,3,3
1137,8,2,4,3,3
1138,9,2,4,3,3
1139,10,2,4,3,3
1140,1,2,5,3,3
1141,2,2,5,3,3
1142,3,2,5,3,3
1143,4,2,5,3,3
1144,5,2,5,3,3
1145,6,2,5,3,3
1146,7,2,5,3,3
1147,8,2,5,3,3
1148,9,2,5,3,3
1149,10,2,5,3,3
